Company,Role,Skills
Infosys,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Cognizant,Python Developer,"django, docker, fastapi"
Wipro,Node.Js Developer,"express.js, javascript, rest apis"
Cognizant,Devops Engineer,"ansible, aws, ci/cd, docker, jenkins, linux"
Accenture,Java Developer,"hibernate, java, maven, microservices, spring boot, sql"
TCS,Python Developer,"aws, django, docker, fastapi, postgresql, rest apis"
Infosys,Python Developer,"aws, django, fastapi, python, rest apis"
IBM,Power Bi Developer,"azure, data modeling, etl, power bi, sql"
Infosys,Node.Js Developer,"javascript, mongodb, node.js, rest apis, typescript"
Capgemini,Research Scientist,"python, r, statistics"
TCS,Backend Developer,"mongodb, node.js, postgresql, python, redis"
Accenture,Ios Developer,"core data, rest apis, xcode"
Wipro,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Capgemini,Product Manager,"agile, product strategy, roadmapping, user research"
Accenture,Software Engineer,"algorithms, c++, system design"
Accenture,Mlops Engineer,"airflow, aws, ci/cd, kubernetes, mlflow, python"
Cognizant,Full Stack Developer,"docker, mongodb, node.js, python, react, rest apis"
Wipro,Devops Engineer,"jenkins, kubernetes, linux, terraform"
IBM,Data Scientist,"deep learning, nlp, pandas, statistics"
TCS,Software Engineer,"c++, data structures, java, python, rest apis"
Accenture,React Developer,"html/css, next.js, react, redux"
Cognizant,Machine Learning Engineer,"aws, docker, tensorflow"
Infosys,Java Developer,"hibernate, java, maven, rest apis, spring boot, sql"
TCS,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
IBM,Backend Developer,"django, docker, node.js, postgresql"
Capgemini,Ai Engineer,"langchain, prompt engineering, rag, vector dbs"
Accenture,Backend Developer,"django, fastapi, mongodb, node.js, postgresql, python"
IBM,Backend Developer,"java, python, redis"
Wipro,Data Analyst,"data visualization, excel, power bi, python, sql, tableau"
IBM,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Cognizant,Ai Engineer,"openai api, prompt engineering, rag"
TCS,Mlops Engineer,"airflow, aws, ci/cd, mlflow, python"
Infosys,Devops Engineer,"ansible, aws, ci/cd, kubernetes, terraform"
IBM,Product Manager,"agile, jira, roadmapping"
Accenture,Devops Engineer,"ansible, aws, ci/cd, kubernetes"
Infosys,Backend Developer,"django, docker, fastapi, postgresql, redis"
